Destination Airport
ABI
ABQ
ACY
AEX
AGS
AMA
ANC
ASE
ATL
AUS
BDL
BFL
BHM
BNA
BOI
BOS
BPT
BRO
BTR
BWI
BZN
CAE
CAK
CHA
CHS
CID
CLE
CLL
CLT
CMH
COS
CRP
CRW
CVG
DAL
DAY
DCA
DEN
DFW
DRO
DRT
DSM
DTW
ECP
EGE
ELP
EWR
FCA
FLL
GJT
GPT
GRK
GRR
GSO
GSP
GUC
HDN
HNL
HOB
HRL
HSV
IAD
ICT
ILG
IND
ISN
JAC
JAN
JAX
JFK
JLN
LAS
LAX
LBB
LCH
LEX
LFT
LGA
LIT
LRD
MAF
MCI
MCO
MDW
MEI
MEM
MFE
MIA
MKE
MLU
MOB
MSN
MSP
MSY
MTJ
MYR
OAK
OKC
OMA
ONT
ORD
ORF
PBI
PDX
PHL
PHX
PIA
PIB
PIT
PNS
PSP
RAP
RDU
RIC
RNO
RSW
SAF
SAN
SAT
SAV
SDF
SEA
SFO
SGF
SHV
SJC
SJT
SJU
SLC
SMF
SNA
SRQ
STL
STT
TLH
TPA
TUL
TUS
TYR
TYS
VCT
VPS
XNA
